"","pick_house","country","state","age","fandoms_partof","books_longingly","activism_mean","consider_activist_3_TEXT","consider_wactivist_4_TEXT","why_consideractivist","whynot_activist","whatis_wactivist","whatmore_wactivist","whystay_hpa","howlearn_hpa","hpa_moreof","female"
"87","Hufflepuff","Sweden",NA,18,"The Mortal Instruments, Shadowhunters, LOTR, The Hobbit, Daredevil, Marvel, DC, Star Wars, Movies in general, etc.","Fahrenheit 451! I read it when I can't sleep!","Standing up for yourself and the people around you, whether it be on social media or irl.","","","Im a queer transperson, and I deal with mental health issues, so when it comes to being an activist it's to stand up for people like me, and people who aren't like me but live under similar or worse condition.","","","","",NA,"","Not Female"
"88","Ravenclaw","Canada",NA,31,"HArry Potter, Supernatural","Wolves of Winter","Using the tools at my disposal to fight for the right things and fighting for the people who can't fight for themselves.","","","Because I use my skills to fight for things I believe in and fight for those who can't.","","","being more involved with the HPA","Because I believe in the work the HPA does","Social Media","","Female"
"89","Hufflepuff","Uruguay",NA,19,"","The Knife of Never Letting Go","","","","","","","","",NA,"","Female"
"90","Gryffindor","USA","Arkansas",22,"Sherlock BBC, is my main other fandom. But I'm peripherally in a few others. ","The Hobbit by Tolkien or Screwtape Letters by C.S. Lewis ","Bringing light top issues that aren't talked about enough in order to bring change. If no one knows there is a problem no one is working toward a solution. ","","","I am passionate about social justice issues and work within organizations near me to enact change. I have worked with the International Justice Mission and Partners Against Trafficking Humans recently in an effort to end slavery in all forms. ","","I've never heard that term before so I don't really know? ","Learning more about what it is and how to act in concert with the Alliance.","I'm not that active with HPA, I follow the happenings on Facebook but I have yet to be able to be truly involved. ","Social Media","More activity in my state. ","Female"
"91","Hufflepuff","USA","Ohio",47,"Doctor Who, Star Trek, Comics/Superheroes, Mythology, Stargate, etc","Percy Jackson (with my daughter)","Helping in our community whole sharing our geeky Ness ","","","Given lectures locally and discussed issues Nationally","","Unsure","Unsure","My family","Social Media","","Female"
"92","Slytherin","USA","Kentucky",29,"Star Wars, Disney, Marvel, misc anime.","The Magicians","Living according to your ideals.","","","I demand change from an oppressive status quo.","","","People actually knowing what the HPA is.","fairly","Other","Climate justice. Food security.","Female"
"93","Ravenclaw","USA","Ohio",21,"Tuataria","Turtles All The Way Down by John Green","To me, activism means being open, honest, and loud about the things you're passionate about, especially when those things involve politics and social issues like feminism, disability rights, etc.","","","I consider myself an activist because I'm constantly being open, up-front, and honest with the things I'm advocating for, while still maintaining values like respect and transparency in debates, which leads people to respect and listen to my activism more frequently.","","","I would feel more like a Wizard Activist if I volunteered for HPA.","I've stayed active with the HPA because it combines three things I'm passionate about: Harry Potter, Nerdfighteria, and activism.","Nerdfighteria","Concentrated on Disability Rights, made themselves more known online/within Nerdfighteria","Female"
"94","Ravenclaw","USA","South Carolina",32,"Street Fighter, Pro Wrestling (New Japan, ROH, etc), Riverdale, Stranger Things, Classic Nickelodeon and Cartoon Network, Escape rooms, to name a few.","Scar Tissue. The autobiography of Anthony Kiedis.","It means letting your voice be heard when it comes to issues that speak to you. Taking a stand against injustice and prejudice.","","","I consider myself a progressive. I sign petitions and contact politicians and let them know exactly what is on my mind. I donate to charities like The Trevor Project, Vegan Outreach, and the Captain Planet Foundation. I get angry when I see corruption at work.","","","I'm not sure. Seeing us have a bigger voice in the political process. Especially with 2018 and 2020 looming.","Because I endorse what they stand for.","Social Media","Had a bigger presence in politics than they already do. I think that progressives and liberals would agree with the way you go about getting your messages across.","Not Female"
"95","Ravenclaw","USA","New York",28,"Pellinor, GoT/ASoIaF, LOTR, Star Wars, DC, Marvel, Saga, The Handmaid's Tale, Downton Abbey, Avatar/Korra, The Hunger Games, the Tortall books, Call the Midwife, Hocus Pocus/Halloweentown/Practical Magic, The Princess Bride, The Secret of Roan Inish, His Dark Materials, The Worst Witch, Arthurian, Gemma Doyle, Pokemon, and Animorphs will always be my first.","The Handmaid's Tale","Trying.","","Much of my understanding of right and wrong comes from the fantasy books I read as a kid, but I have never used this term.","Because my survival depends on being heard and seen. I also cannot allow evil to go unchecked.","","","Being engaged more, but I'm a chronically ill hermit.","I try to cast a wide net to stay informed. And I like Harry Potter and the emphasis on gender equality.","Social Media","More examples of how to get involved.","Female"
"96","Ravenclaw","USA","Massachusetts",23,"Buffy the Vampire Slayer, Veronica Mars, Gilmore Girls, Lord of the Rings? I’m not a big online discussion person, but if I was it would be those. Also Octavia Butler and other American writers, but that’s usually in a quasi-adamedic context.","Elaine Scarry’s On Beauty and Being Just","Activism means engaging with the world in a way that might improve the material conditions of someone’s existence. This engagement could happen in any number of ways - an activist should play to their strengths! The HPA is wonderful because it allows fans to take what they already know and love and turn it into love for the rest of the world.","","","One of the skills I have practiced the most is writing, so I write to my representatives whenever I can about human rights and environmental justice issues. I also call them when it feels more appropriate! Communicating with my representatives gives them the tools to create legislation that reflects the opinions of at least one more constituent. /  / Whenever I can, I also try to turn my access to elite higher education back to people who do not have that access. I’ve had a lot of opportunities to think about social justice that not everyone I interact with has had. By gently calling people into conversations I’ve been thinking about for a while, I hope to expand a little at a time the circle of citizens thinking about social justice. Hopefully some of them will in turn do the same! I truly believe that open conversation and awareness are how we get to more socially just politics and, in turn, legislation.","","","I would love to be more involved in the HPA! I tried to start a chapter at my undergrad institution several years back, but my co-organizer transferred away from the school and it never got off the ground. I think the organization is amazing, and I still want to be an active part of it.","There is so much power in community activism.","Social Media","Critical discussion of responsible fandom - what does it mean to use a text to inspire activism when that text also, for example, performs the metaphorical elision of real Black experience and white poverty in a fictional landscape like Panem?","Female"
"97","Gryffindor","USA","Colorado",17,"Lord of the rings, Shadowhunters, Hunger Games, Riverdale, Pretty Little Liars ","Heart of Darkness ","To me activism means that people work together to overcome a problem. They contribute to the world community and use activism as a way to create the world they want to live in. ","","","I consider myself an activist because there are many problems in the world and I try to find ways to fix them. ","","Someone who uses their magic to make the world a better place. ","Being part of fandom events and joining a HPA chapter ","I'm not technically in it but I have because I want to make a donation in the world ","Social Media","More chapters ","Female"
"98","Ravenclaw","USA","New Jersey",18,"Taylor Swift, Twilight, Reading/Writing","Turtles All the Way Down","","","","","","","","",NA,"","Female"
"99","Hufflepuff","USA","Virginia",50,"","Always Too Much and Never Enough: A Memoir - Jasmin Singer","A million ways to increase compassion and peace.","","","I work for justice and to increase compassion and peace.","","","If the HPA had more support for Gen X and more support for all sentient beings.","it's grand potential","Social Media","Promote Cowspiracy and The World Peace Diet.","Not Female"
"100","Slytherin","Canada",NA,26,"","Vacationland by John Hodgman","Standing up for what you believe in.","","","","","","","","Social Media","","Not Female"
"101","Hufflepuff",NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"102","Hufflepuff","USA","Texas",16,"Doctor Who, Sherlock, Pentatonix, Superfruit","Graduation Day by Joelle Charbonneau","It's important to me because of my identities (autistic, trans, queer, mentally ill) and because I want to stand up for everyone who are treated badly by society. Even if I wasn't trans and queer etc, I would still be a feminist","","","I fight for everyone ","","An activist who is a wizard","To have a wand I guess","I like the page ","Other","Talking about trans issues","Not Female"
"103","Ravenclaw","USA","Michigan",21,"Harry Potter, Greys Anatomy, Wizard Rock, Tessa Netting ","Turtles All the Way Down ","","","","","","","","",NA,"","Female"
"104",NA,NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"105","Ravenclaw","USA","California",40,"","","","","","","","","","",NA,"","Female"
"106","Hufflepuff","USA","Virginia",42,"","","","","","","","","","",NA,"","Female"
"107","Slytherin","USA","New York",22,"harry potter, a series of unfortunate events whenever the netflix show is happening","the gay revolution -- lillian faderman","this is a hard question. right now i'm going to say ""working to affect positive change for underrepresented communities."" that answer could change though.","","","","","","","",NA,"","Female"
"108","Ravenclaw","USA","Virginia",25,"","All the Crooked Saints (Maggie Stiefvater) and Turtles All The Way Down (John Green)","Affecting change (even small change) with passion and intelligent actions. ","Sometimes!","","","","","","",NA,"","Female"
"109","Ravenclaw","USA","Wisconsin",32,"Whedonverse, Tolkien/Lord of the Rings, doctor who ","Jonathan Strange & Mr. Norrell","Working to better the community/solve an important issue","","","I am a volunteer for multiple organisations and I work for two non profits.","","An activist who enjoys HP","I don't know","Im interested in it","Friend","","Female"
"110","Ravenclaw","Indonesia",NA,23,"","Gender Trouble by Judith Butler","","","","","","","","",NA,"","Female"
"111","Ravenclaw","USA","Iowa",21,"Harry Potter, Sherlock, Lizzie Bennet Diaries, Carry On, Yuri on Ice","Turtles All the Way Down","Advocating for policy by calling representatives, spreading awareness around issues, and attending events such as protests and vigils","","","I call and write to my elected representatives, attend vigils and protests when they happen in my area, and spread awareness around issues when I can find reliable information that I feel is lacking from the discussion.","","","I would be more comfortable living into my Wizard Activist identity more if I felt that the HPA had more nuance.","I like the way it engages young people in activism, and I really like Accio Books","Social Media","Nuance","Female"
"112",NA,NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"113","Ravenclaw","USA","Texas",28,"Jane Austen, Narnia","Just Mercy - Bryan Stevenson","Speaking out for what is right. Volunteering in the local community. Being informed and participating in local politics.","","","As a volunteer at HPA, I help raise awareness of important issues of social justice. I try to stay politically informed and call my members of Congress to express my views and opinions on upcoming votes. I volunteer in my local community to help with ESL students.","","","","The HPA's primary message is one of love. This is a positive driving force in a time when there is so much negativity and discouragement.","Social Media","Accio books type campaigns - I like being able to contribute more than just monetarily","Female"
"114","Ravenclaw","France",NA,24,"","An Interrupted Life: The Diaries of Etty Hillesum, 1941-1943","Giving time and energy to a cause deserving of it. ","","","I have been volunteering for years, I have been giving time and energy to defend great causes and I don't shy away from my opinions to please society. ","","","","",NA,"","Not Female"
"115","Ravenclaw","USA","Ohio",24,"The Office, Steven Universe","No One is Coming to Save Us","Activism is educating, raising awareness, and taking specific action on social justice issues; it should support, improve the lives of, and magnify the voices of marginalized people. ","","","In my personal life and as an educator and social worker, I fight for LGBTQ+ folks, people of color, Disabled folks, and other folks who have been marginalized and/or oppressed. Social justice is an integral part of my daily life. ","","I think a Wizard Activist is a Harry Potter fan who cares about social justice and uses Harry Potter themes and ideas in their activism. ","Active involved in HPA-specific campaigns","I believe in its purpose and enjoy the intersection of interests it carries. ","Social Media","","Not Female"
"116","Gryffindor","USA","Wisconsin",31,"","","","","","","","","","",NA,"","Female"
"117","Gryffindor","USA","Connecticut",29,"Sherlock ","1536 the year that changed Henry viii","","","","","","","","",NA,"","Female"
"118","Ravenclaw","Canada",NA,25,"","","","","","","","","","",NA,"","Female"
"119","Ravenclaw","Great Britain",NA,29,"","","","","","","","","","",NA,"","Female"
"120","Ravenclaw","USA","Ohio",31,"","Turtles All the Way Down","","","","","","","","",NA,"","Female"
"121","Gryffindor","USA","Idaho",30,"","","","","","","","","","",NA,"","Not Female"
"122","Gryffindor","USA","Missouri",53,"Harry Potter, Star Wars, LOTR, Marvels","Harry Potter","To shed light on areas that need attention. ","","","","","","","",NA,"","Female"
"123","Ravenclaw","USA","Ohio",NA,"","","","","","","","","","",NA,"","Not Female"
"124","Ravenclaw","Greece",NA,28,"","","","","","","","","","","Social Media","","Female"
"125","Ravenclaw",NA,NA,22,"","","","","","","","","","",NA,"","Female"
"126","Slytherin","Finland",NA,NA,"","","","","","","","","","",NA,"","Not Female"
"127","Ravenclaw","USA","Nevada",32,"Doctor Who, Star Wars, Lord of the Rings/The Hobbit","Harry Potter and the Cursed Child","","","","","","","","",NA,"","Not Female"
"128","Ravenclaw","USA","Minnesota",50,"Doctor Who, Star Trek, Star Wars, BTVS, Firefly","Ruin and Rising by Leigh Bardugo","Working toward policy change; getting involved in politics; outreach and education to the general public about important issues; advocacy","","","","","","","I enjoy working with other activists in my chapter, through the lens of Wizard activism.","Chapter","","Female"
"129","Hufflepuff","USA","Virginia",32,"Marvel Comics; Star Wars; The Simpsons; Lord of the Rings; Nintendo; Godzilla","House of Leaves","Influencing the people you are closest to.","I'm actively vocal about my beliefs, but do not go out of my way to influence strangers.","","","","Being an activist for the values inherent in Harry Potter.","?","",NA,"","Not Female"
"130","Hufflepuff","USA","Washington",19,"","Harry Potter and the Prisoner of Azkaban ","","","","","","","","",NA,"","Female"
"131","Ravenclaw","USA","North Carolina",NA,"","","","","","","","","","",NA,"","Not Female"
"132","Gryffindor","USA","New York",38,"","Jane, Unlimited","","","","","","","","",NA,"","Female"
"133","Gryffindor","USA","Texas",33,"","","","","","","","","","",NA,"","Female"
"134","Slytherin","USA","Virginia",27,"Doctor Who, running, Game of Thrones","A Good Man is Hard to Find","Keeping yourself and others informed about how to make the world a better place.","I'd like to but I'm not sure I'm there yet","","","","Someone whose activism is inspired by Harry Potter","","",NA,"","Female"
"135","Hufflepuff","USA","Iowa",65,"","","","","","","","","","",NA,"","Female"
"136","Gryffindor","USA","New York",56,"","The Crystal Cave","","","","","","","","",NA,"","Female"
"137","Gryffindor","USA","California",35,"Doctor Who, Jem and the Holograms","Scrappy Little Nobody","Fighting for what is right and good and for those who can't fight for themselves. Making the world a better place for EVERYONE.","","","Because I speak out against injustices and fight for them to be righted.","","No clue","Magic, I guess?","I haven't. I just discovered it today.","Social Media","","Female"
"138","Gryffindor","USA","Florida",NA,"","","","","","","","","","",NA,"","Not Female"
"139","Hufflepuff","USA","Washington",40,"Lord of the Rings, Marvel, Star Wars, Terry Pratchet/Discworld, Sense8, Stranger Things, Bioware, JackSepticEye, Markiplier.  / Also consider myself part of the fandoms of many K-J-C-dramas, Anime, and Manga... but this changes frequently depending on the drama, anime, or manga I'm into at the moment.","The Shepherd's Crown","Activism has many faces, each equally valid. There are your activists who go out and make change physically in the world by protesting, volunteering, fundraising, and speaking. There are online activists who reach out to educate through social media and the internet. There are people who are activists simply by doing their very best to live their best possible life in a world filled with people that harbor hate for them and wish for them not to exist.","","","","","","","I love what the HPA stands for.","Other","","Not Female"
"140","Slytherin","Australia",NA,41,"Dragon Age","The Gentleman's Guide to Vice and Virtue by Mackenzie Lee (loads of fun!)","","","","","","","","",NA,"","Female"
"141","Gryffindor","USA","Massachusetts",37,"Doctor Who / Game of Thrones / Marvel  / Netflix Shows - Stranger Things, Unbreakable with Kimmy Schmidt, Grace & Frankie, etc.","What a Fish Knows: The Inner Lives of Our Underwater Cousins","","","","","","","","",NA,"","Female"
"142","Ravenclaw","USA","Washington",25,"","Alias Grace","","","","","","","","",NA,"","Female"
"143","Slytherin","Canada",NA,17,"Shadowhunters, OUAT, kpop fandoms, Riverdale ","Can't remember","Fighting hard to make a difference while educating the public. Refusing to back down from a belief or a cause despite the odds ","Lil bit","","","","I'm not sure","Learning about what it is and getting involved","n/a because I'm a casual follower ","Social Media","Promoting what the organization is about so that new followers can really get interested and involved ","Female"
"144","Gryffindor","USA","Pennsylvania",56,"","Harry Potter","","","","","","","","",NA,"","Female"
"145",NA,NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"146","Hufflepuff","Great Britain",NA,24,"","","","","","","","","","",NA,"","Female"
"147","Ravenclaw","USA","Ohio",26,"","The Slow Regard of Silent Things","","","","","","","","",NA,"","Not Female"
"148","Hufflepuff","USA","New York",20,"Percy Jackson, Young Wizards","Turtles all the way Down","Standing up for things you believe in that others may not when those things affect something.","","","I associate myself strongly with activism through veganism. I make a choice daily not to exploit animals so that I can live with myself. I stand up for that choice regularly.","","","Probably following the HPA's campaigns more closely.","","Con or Event","Animal rights activism","Female"
"149","Gryffindor",NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"150","Gryffindor",NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"151","Hufflepuff","USA","Massachusetts",54,"","","","","","","","","","",NA,"","Female"
"152","Gryffindor","Pakistan",NA,17,"Hunger games, FRIENDS, Acotar and stranger things / ","Strange the dreamer by Laini taylor.","","","","","","","","","Social Media","","Female"
"153","Hufflepuff","Germany",NA,27,"","What's the matter with Kansas","","","","","","","","",NA,"","Female"
"154","Ravenclaw","Sweden",NA,NA,"","","","","","","","","","",NA,"","Not Female"
"155","Ravenclaw","USA","Kansas",25,"","The inexplicable logic of my life ","","","","","","","","",NA,"","Female"
"156","Ravenclaw","USA","Kansas",25,"","Flawed","Working for social justice and equality","","","Because I believe that we need to take action for social justice and I am using my power and privilege to work for equality.","","","I don't know that that's possible","The people and how they make activism so accessible","Nerdfighteria","","Female"
"157",NA,NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"158","Ravenclaw","USA","Nebraska",31,"Doctor Who, Trek, Studio Ghibli, Stranger Things, Game of Thrones. ","The Hangman's Daughter ","Standing up for your beliefs, taking action to attempt to enact change in the world around you especially in order to remove oppression and inequality. ","","","Because I attempt to create positive change in my community ","","Not sure","I do not really see why I should want to be one. I'm happy just being an activist, no ""wizard"" necessary","It keeps me focused, and helps me feel like I'm part of something bigger than myself","Nerdfighteria","Environmental activism","Female"
"159","Slytherin","USA","Massachusetts",29,"","Akata Witch by Nnedi Okorafor","","","","","","","","",NA,"","Female"
"160","Hufflepuff","Norway",NA,24,"In the flesh, BBC Merlin, Doctor Who, OMG Check Please!, Rock and Riot, The Penumbra Podcast, Welcome to Night Vale, Wolf 359, Alice Isn't Dead, The Bright Sessions, The Orbiting Human Circus (of the air), Wicked, Les Miserables (book, film, musical), Spring Awakening, Be More Chill ","'Juliet Takes A Breath', or 'Mick & Michelle'","Working to let people live good lives. ","","Kinda?","Regularly attend marches, work actively with my local queer youth alliance, just helped arrange a queer knowledge seminar ","","","Having time to take an active part in the HPA's work.","I believe they do good work.","Social Media","","Not Female"
"161","Ravenclaw","USA","Massachusetts",25,"Sherlock","Turtles All The Way Down and Little and Lion","","","","","","","","",NA,"","Female"
"162","Ravenclaw","USA","Illinois",16,"The Walking Dead and American Horror Story","The Picture of Dorian Gray","It means to bring about change in your surroundings positively ","","","I am passionate about compassion. I love being able to help others.","","","Being able to do more wizard events","Because I like helping others","Nerdfighteria","Clean energy","Not Female"
"163","Hufflepuff","USA","Oklahoma",25,"","a breath of snow and ashes","","","","","","","","",NA,"","Female"
"164","Hufflepuff","Brazil",NA,28,"Glee, Star Wars, Disney, Starkid ","Turtles All The Way Down","Trying to be the change you want to see in the world","","","I try to be active about the problems that bother me","","","","We fight for the same causes","Nerdfighteria","Campaings about mental health","Female"
"165","Hufflepuff","USA","Michigan",30,"None","Harry Potter","","","","","","","","I'm not really active",NA,"","Female"
"166","Gryffindor",NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"167","Hufflepuff","USA","Minnesota",NA,"","","","","","","","","","",NA,"","Not Female"
"168","Gryffindor","USA","Michigan",46,"Dr Who, Marvel, Star Wars, Star Trek, many more...","The Eight by Katherine Neville","","","","","","","","",NA,"","Female"
"169","Gryffindor","Vietnam",NA,23,"Sherlock Holmes, Agatha Christie","The Outliers","","","","","","","","",NA,"","Female"
"170","Hufflepuff",NA,NA,28,"Hp, GoT, LoTR ","Paddle your own canoe ","","","","","","","","",NA,"","Female"
"171","Hufflepuff","USA","Georgia",32,"","Flight Behavior - Barbara Kingsolver","","","","","","","","",NA,"","Female"
"172","Gryffindor","Sweden",NA,18,"Directioner","Harry Potter","","","","","","","","",NA,"","Female"
"173","Ravenclaw","USA","Missouri",30,"","","","","","","","","","",NA,"","Female"
"174","Hufflepuff","USA",NA,31,"","","","","","","","","","",NA,"","Female"
"175","Gryffindor","USA","Florida",43,"","Dark Tower Series by Stephen King","","","","","","","","",NA,"","Not Female"
"176","Gryffindor","India",NA,25,"","Harry Potter","","","","","","","","",NA,"","Female"
"177","Ravenclaw","USA","Arkansas",35,"Star Trek","","","","","","","","","",NA,"","Not Female"
"178","Hufflepuff","USA","Oregon",45,"Star Wars, LOTR, Avatar the last airbender","Ready Player One","","","","","","","","",NA,"","Not Female"
"179","Ravenclaw","Canada",NA,NA,"","","","","","","","","","",NA,"","Not Female"
"180","Gryffindor",NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"181","Slytherin","India",NA,22,"","angels and demons","","","","","","","","",NA,"","Not Female"
"182","Gryffindor","USA","Nebraska",NA,"","","","","","","","","","",NA,"","Not Female"
"183","Slytherin","USA","Ohio",20,"","","","","","","","","","",NA,"","Not Female"
"184","Slytherin","France",NA,24,"Books written by J.R.R. Tolkien (the Lord of the Rings, Silmarillion, etc.) ; Star Trek ; Marvel (MCU and comics) ; Good Omens","American Gods (Neil Gaiman)","","","","","","","","",NA,"","Not Female"
"185","Gryffindor","USA","Tennessee",24,"Game of thrones, lord of the rings, DC ","Game of thrones","","","","","","","","",NA,"","Female"
"186","Gryffindor","USA","Colorado",NA,"","","","","","","","","","",NA,"","Not Female"
"187","Ravenclaw","USA","Vermont",15,"Welcome to Night Vale, Stranger Things, Brooklyn nine nine","The Hate U Give by Angie Thomas","","","","","","","","",NA,"","Not Female"
"188","Hufflepuff","Netherlands",NA,23,"Demigods, pokémon, some other anime, kingdom hearts, outlander","Outlander series","","","","","","","","",NA,"","Female"
"189","Gryffindor","India",NA,22,"","","","","","","","","","",NA,"","Not Female"
"190","Gryffindor","USA","Kansas",NA,"","","","","","","","","","",NA,"","Not Female"
"191","Gryffindor","USA","District of Columbia",18,"Anastasia Broadway","Alias Grace","","","","","","","","",NA,"","Female"
"192","Hufflepuff","USA","New York",23,"Doctor who, Sherlock, the office ","Me talk pretty one day","Fighting for justice","","","I am a fighter for gender equality ","","","","Not Often","Chapter","","Not Female"
"193","Hufflepuff","USA","Washington",34,"","","","","","","","","","",NA,"","Female"
"194","Ravenclaw","USA","Virginia",44,"None really, but I can get behind Stranger Things.","The Warmth of Other Suns","Justice and equity and access..and apparently fighting Nazis since 2017 has arrived and shocked the world.","","","My desire for justice, equity and access do not begin and end with my self-interests.","","No idea.","A smoke machine and black soap with lavender. ?","I guess I haven't, but this survey got my attention. I'm a Luna Lovegood kind of girl.","Social Media","Promoting events by developing relationships with school librarians.","Female"
"195","Gryffindor","Canada",NA,NA,"","","","","","","","","","",NA,"","Not Female"
"196","Hufflepuff",NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"197","Ravenclaw","USA","Massachusetts",47,"Star Trek, Star Wars, Lord of the Rings, Doctor Who and Supernatural","The Box Under The Bed.","Supporting causes/people/issues that are beneficial to the most people.  ","","","I have been raising awareness and working toward equal rights for people with disabilities since the 90’s.","","I don’t know","","This is the first time I’ve looked into it","Social Media","","Female"
"198","Slytherin","South Korea",NA,25,"","","","","","","","","","",NA,"","Female"
"199","Ravenclaw","USA","North Carolina",68,"Dr. Who. Sherlock","Apostles of Disunion / ","","","","","","","","",NA,"","Female"
"200","Gryffindor",NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"201","Gryffindor","India",NA,25,"LOTR, SOIAF ","Sapiens ","","","","","","","","",NA,"","Female"
"202","Gryffindor","Italy",NA,NA,"","","","","","","","","","",NA,"","Not Female"
"203","Gryffindor","India",NA,NA,"","","","","","","","","","",NA,"","Not Female"
"204","Ravenclaw","Mexico",NA,23,"Supernatural, name of the wind","name of the wind","","","","","","","","",NA,"","Not Female"
"205","Ravenclaw","USA","Ohio",40,"Doctor Who mostly, but members of my family are fans of others.","Braving the Wilderness by Brene Brown","making our corner of the world a better place for as many different types of people as possible. Having each other's backs.","","I wear lots of activist hats, the magical one sometimes gets obscured.","I have been organizing various types of activist activities for several decades in various different forms.","","","Having a Time Turner and/or a Portkey so I could get to all the things and still adult functionally.","It is the only activist organization that both welcomes & interests my offspring","Social Media","intergenerationally inclusive work - several of your questions (especially the financial ones) clearly expect a very narrow range of age responses. You also seem to assume respondents aren't married or parents themselves.","Female"
"206","Gryffindor","USA","North Carolina",27,"Dr Who, TWD, Supernatural, GoT, obscure fantasy novels, Moar Harry Potter","Magik, the Septimus Hepp Story","Doing what you can (using what you love) to inspire change.","","","Because I care enough to do the next answer.","","","If I had time for more events!","It's fun!","Social Media","Events","Female"
"207","Gryffindor","Sweden",NA,42,"Doctor Who; Miss Fisher","Ondvinter (Anders Björkelid)","","","","","","","","",NA,"","Female"
"208","Ravenclaw",NA,NA,NA,"","The Gentleman's Guide to Vice and Virtue - Mackenzi Lee","","","","","","","","",NA,"","Female"
"209","Ravenclaw","Great Britain",NA,NA,"","","","","","","","","","",NA,"","Female"
"210","Hufflepuff","USA","Texas",32,"Merlin, Doctor Who, Jane the Virgin","The Name of the Wind","","","","","","","","",NA,"","Female"
"211","Gryffindor","USA","Virginia",24,"Stranger Things, American Horror Story, Game of Thrones, Criminal Minds","What Happened (the Hillary Clinton memoir)","Caring about making the world a better place enough to do something about it. ","","","I try to stay politically informed and engaged. I call my congressional representatives and senators. I sign petitions. I donate money. I go to protests. ",""," An activist who incorporates the lessons of HP into activism","I don't know","",NA,"","Female"
"212","Gryffindor","USA",NA,23,"Sherlock Holmes, (broadly) anime","Carry On by Rainbow Rowell","","","","","","","","",NA,"","Not Female"
"213","Gryffindor","USA","New York",32,"","I know why the cage bird sings","","","","","","","","",NA,"","Female"
"214","Ravenclaw","USA",NA,NA,"","","","","","","","","","",NA,"","Not Female"
"215",NA,NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"216","Ravenclaw","Australia",NA,36,"","Turtles all the way down ","","","","","","","","",NA,"","Female"
"217","Gryffindor","Romania",NA,17,"Echelon","Great expectations","","","","","","","","",NA,"","Female"
"218","Ravenclaw","USA","Georgia",28,"","","","","","","","","","",NA,"","Female"
"219","Ravenclaw","Portugal",NA,18,"","","","","","","","","","",NA,"","Female"
"220","Slytherin","USA","Georgia",64,"LOTR/the Hobbit, Days of Our Lives, Star Trek","Jungle by Yoshi Ghinsberg","Working for what you believe in and making things better for others.","","","Yes","","Have no idea","If you told me what it was. :)","Not lately",NA,"","Female"
"221","Ravenclaw","USA","Wisconsin",27,"Sherlock, Stranger Things, Pokemon, Dragon Age, Inhertiance Cycle, The Witcher, Tomb Raider ","How to Hang A Witch by Adriana Mather","Taking part in making a difference in the world. ","","","","","","","",NA,"","Female"
"222","Gryffindor","Canada",NA,26,"Buffyverse, Hunger games, Supernatural, ","Harry Potter reread","Activism is a way to create change.","","","","","","","",NA,"","Female"
"223","Ravenclaw","USA","New York",22,"","","","","","","","","","",NA,"","Not Female"
"224","Slytherin","USA","North Carolina",23,"","","","","","","","","","",NA,"","Female"
"225","Slytherin","USA","Kentucky",25,"Carmilla, Stranger Things, Buffy, Fringe ","Naked","","","","","","","","",NA,"","Female"
"226","Gryffindor","USA","Pennsylvania",36,"","Saving Max","","","","","","","","",NA,"","Female"
"227","Hufflepuff",NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"228",NA,NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
"229","Hufflepuff","USA","Massachusetts",23,"","","","","","","","","","",NA,"","Female"
"230","Hufflepuff","USA","Texas",31,"","","","","","","","","","",NA,"","Not Female"
"231","Gryffindor","Australia",NA,34,"Dr Who, Tortall, Shakespeare, Aristophanes ","Psmith in the City","","","","","","","","",NA,"","Female"
"232","Slytherin","Great Britain",NA,20,"Clique |-/, Patent Pending Second Family, doctor who, Harry Potter, Sherlock","Turtles all the way down ","","","","","","","","",NA,"","Not Female"
"233","Ravenclaw","USA","Massachusetts",23,"So many!! Depends what show is on at the given time, but doctor who and game of thrones are huge","Turtles all the way down","","","","","","","","",NA,"","Female"
"234","Ravenclaw","USA","Ohio",24,"Steven Universe ","No One is Coming to Save Us ","","","","","","","","",NA,"","Not Female"
"235","Slytherin","Great Britain",NA,18,"","","","","","","","","","",NA,"","Not Female"
"236","Gryffindor","USA","North Carolina",45,"","","","","","","","","","",NA,"","Female"
"237","Gryffindor","Canada",NA,24,"","","","","","","","","","",NA,"","Female"
"238","Hufflepuff","Netherlands",NA,23,"Sloths (amanda palmer)","The Stone Gods by Jeanette Winterson","","","","","","","","",NA,"","Not Female"
"239",NA,NA,NA,NA,"","","","","","","","","","",NA,"","Not Female"
